time,id,travel_id,x,y,vx,vy,ax,ay
53.407,53,3,-89.4834,1.75,2.45989,-4.76913e-10,5.99875,9.33559e-10
53.417,39,2,90.1679,1.74984,19.831,0.000227913,0.20256,0.000382525
53.417,41,2,53.1203,1.75417,18.4259,0.00335445,1.69315,-0.0484393
53.417,42,2,31.9769,1.6628,14.5606,0.143516,4.33407,0.14061
53.417,43,2,17.614,2.52105,12.2308,-2.67173,0.447845,4.20055
53.417,44,2,4.82031,5.20712,12.4397,-0.589402,0.113869,-4.95971
53.417,45,1,-30.209,-1.75,-19.9922,7.8142e-10,-0.00953674,-3.25592e-09
53.417,46,2,-18.3799,5.32668,12.6841,0.39071,1.2352,-2.23438
53.417,47,1,9.52623,-1.75,-19.9138,-3.45943e-09,-0.103951,1.44143e-08
53.417,48,2,-42.6563,1.75,12.7894,-1.56555e-11,-0.0362396,6.52313e-11
53.417,49,1,48.6351,-1.75,-19.1054,1.59277e-10,-1.01414,-6.63652e-10
53.417,50,2,-68.9777,1.75,14.2441,4.00487e-09,0.34256,-1.6687e-08
53.417,51,1,82.7999,-1.75,-13.7599,-2.82747e-10,-4.67386,1.17811e-09
53.417,52,1,93.9213,-1.75,-8.46563,-2.27557e-09,-5.81264,9.48153e-09
53.417,53,3,-89.4582,1.75,2.51988,4.22435e-09,5.99864,4.70126e-07
53.427,39,2,90.3662,1.74984,19.833,0.000231404,0.200272,0.000349105
53.427,41,2,53.3048,1.7542,18.4427,0.00288675,1.67732,-0.0467697
53.427,42,2,32.1229,1.66425,14.6037,0.144751,4.31414,0.123505
53.427,43,2,17.7364,2.49476,12.2352,-2.62971,0.442982,4.20256
53.427,44,2,4.94472,5.20072,12.4404,-0.639395,0.0761986,-4.99924
53.427,45,1,-30.409,-1.75,-19.9923,7.50163e-10,-0.00934601,-3.12568e-09
53.427,46,2,-18.253,5.33037,12.6963,0.368947,1.22137,-2.17627
53.427,47,1,9.32708,-1.75,-19.9148,-3.32105e-09,-0.102806,1.38377e-08
53.427,48,2,-42.5284,1.75,12.789,-1.50293e-11,-0.0359535,6.26221e-11
53.427,49,1,48.444,-1.75,-19.1155,1.52906e-10,-1.00365,-6.37107e-10
53.427,50,2,-68.8352,1.75,14.2475,3.84467e-09,0.333118,-1.60195e-08
53.427,51,1,82.6619,-1.75,-13.8064,-2.71437e-10,-4.65574,1.13099e-09
53.427,52,1,93.8361,-1.75,-8.52371,-2.18454e-09,-5.8074,9.10227e-09
53.427,53,3,-89.4324,1.75,2.57987,4.13919e-09,5.99849,-8.5159e-09
53.437,39,2,90.5646,1.74985,19.835,0.000234575,0.197983,0.000317021
53.437,41,2,53.4894,1.75422,18.4593,0.00243545,1.66168,-0.0451297
53.437,42,2,32.2694,1.66571,14.6466,0.145821,4.29401,0.106984
53.437,43,2,17.8588,2.46889,12.2393,-2.58681,0.401592,4.28939
53.437,44,2,5.06913,5.19383,12.4412,-0.689029,0.0785828,-4.96344
53.437,45,1,-30.6089,-1.75,-19.9923,7.20157e-10,-0.00934601,-3.00066e-09
53.437,46,2,-18.1259,5.33385,12.7084,0.34776,1.20764,-2.11873
53.437,47,1,9.12792,-1.75,-19.9159,-3.18821e-09,-0.101471,1.32842e-08
53.437,48,2,-42.4005,1.75,12.7887,-1.44281e-11,-0.0356674,6.01173e-11
53.437,49,1,48.2527,-1.75,-19.1254,1.46789e-10,-0.993156,-6.11622e-10
53.437,50,2,-68.6927,1.75,14.2507,3.69089e-09,0.323772,-1.53787e-08
53.437,51,1,82.5233,-1.75,-13.8528,-2.60579e-10,-4.63743,1.08575e-09
53.437,52,1,93.7503,-1.75,-8.58173,-2.09716e-09,-5.80206,8.73819e-09
53.437,53,3,-89.406,1.75,2.63985,4.05376e-09,5.99835,-8.54286e-09
53.447,39,2,90.7629,1.74985,19.8369,0.000237427,0.195694,0.000285266
53.447,41,2,53.6741,1.75424,18.4758,0.00200026,1.64604,-0.0435191
53.447,42,2,32.4162,1.66718,14.6894,0.146731,4.27389,0.0910401
53.447,43,2,17.9812,2.44346,12.2429,-2.5431,0.36087,4.37152
53.447,44,2,5.19355,5.18644,12.4416,-0.739069,0.0417709,-5.004
53.447,45,1,-30.8088,-1.75,-19.9924,6.9135e-10,-0.00915527,-2.88063e-09
53.447,46,2,-17.9987,5.33712,12.7204,0.327142,1.1939,-2.0618
53.447,47,1,8.92875,-1.75,-19.9169,-3.06068e-09,-0.100327,1.27528e-08
53.447,48,2,-42.2726,1.75,12.7883,-1.3851e-11,-0.0354767,5.77126e-11
53.447,49,1,48.0613,-1.75,-19.1352,1.40918e-10,-0.982666,-5.87157e-10
53.447,50,2,-68.5501,1.75,14.2538,3.54325e-09,0.314522,-1.47635e-08
53.447,51,1,82.3844,-1.75,-13.899,-2.50156e-10,-4.61903,1.04232e-09
53.447,52,1,93.6639,-1.75,-8.63969,-2.01328e-09,-5.79662,8.38865e-09
53.447,53,3,-89.379,1.75,2.69983,3.96815e-09,5.99818,-8.56106e-09
53.457,39,2,90.9613,1.74985,19.8389,0.000239975,0.193405,0.000254782
53.457,41,2,53.859,1.75426,18.4921,0.00158088,1.6304,-0.0419385
53.457,42,2,32.5636,1.66865,14.7319,0.147488,4.25367,0.0756592
53.457,43,2,18.1037,2.41846,12.2464,-2.4994,0.356197,4.37009
53.457,44,2,5.31797,5.17855,12.4421,-0.788739,0.044632,-4.96694
53.457,45,1,-31.0087,-1.75,-19.9925,6.63696e-10,-0.00915527,-2.7654e-09
53.457,46,2,-17.8714,5.34019,12.7322,0.307087,1.18017,-2.0055
53.457,47,1,8.72957,-1.75,-19.9179,-2.93825e-09,-0.0991821,1.22427e-08
53.457,48,2,-42.1447,1.75,12.788,-1.3297e-11,-0.0352859,5.5404e-11
53.457,49,1,47.8699,-1.75,-19.145,1.35281e-10,-0.972366,-5.63671e-10
53.457,50,2,-68.4076,1.75,14.2569,3.40152e-09,0.305367,-1.4173e-08
53.457,51,1,82.2449,-1.75,-13.945,-2.4015e-10,-4.60052,1.00062e-09
53.457,52,1,93.5769,-1.75,-8.69761,-1.93275e-09,-5.79109,8.05311e-09
53.457,53,3,-89.3514,1.75,2.75981,9.03196e-09,5.99802,5.06381e-07
53.467,39,2,91.1597,1.74985,19.8408,0.00024223,0.191116,0.000225517
53.467,41,2,54.0441,1.75427,18.5082,0.001177,1.61495,-0.0403878
53.467,42,2,32.7113,1.67013,14.7742,0.148096,4.23336,0.060834
53.467,43,2,18.2262,2.39391,12.2496,-2.45489,0.315475,4.45113
53.467,44,2,5.44239,5.17017,12.4422,-0.838824,0.00867844,-5.00854
53.467,45,1,-31.2087,-1.75,-19.9926,6.37149e-10,-0.00896454,-2.65479e-09
53.467,46,2,-17.7439,5.34306,12.7438,0.287589,1.16663,-1.94985
53.467,47,1,8.53039,-1.75,-19.9188,-2.82072e-09,-0.0980377,1.1753e-08
53.467,48,2,-42.0169,1.75,12.7876,-1.27651e-11,-0.0350952,5.31879e-11
53.467,49,1,47.6784,-1.75,-19.1546,1.2987e-10,-0.962067,-5.41124e-10
53.467,50,2,-68.265,1.75,14.2599,3.26546e-09,0.296307,-1.36061e-08
53.467,51,1,82.105,-1.75,-13.9908,-2.30544e-10,-4.58193,9.606e-10
53.467,52,1,93.4894,-1.75,-8.75546,-1.85544e-09,-5.78537,7.73098e-09
